year,month,treatment,N_ID
2014,1,1,579
2014,1,2,1984
2014,1,3,119
2015,1,1,806
2015,1,2,2300
2015,1,3,182
2016,1,1,1061
2016,1,2,2728
2016,1,3,297
2017,1,1,1009
2017,1,2,3026
2017,1,3,405
2018,1,1,1052
2018,1,2,3289
2018,1,3,438
2019,1,1,1307
2019,1,2,3535
2019,1,3,440
2020,1,1,1090
2020,1,2,3909
2020,1,3,509
2021,1,1,1137
2021,1,2,4188
2021,1,3,501
2014,2,1,575
2014,2,2,2060
2014,2,3,152
2015,2,1,807
2015,2,2,2320
2015,2,3,216
2016,2,1,1038
2016,2,2,2751
2016,2,3,350
2017,2,1,947
2017,2,2,3071
2017,2,3,432
2018,2,1,1042
2018,2,2,3300
2018,2,3,466
2019,2,1,1274
2019,2,2,3563
2019,2,3,512
2020,2,1,1098
2020,2,2,3938
2020,2,3,548
2021,2,1,1170
2021,2,2,4242
2021,2,3,529
2014,3,1,607
2014,3,2,2099
2014,3,3,147
2015,3,1,831
2015,3,2,2373
2015,3,3,211
2016,3,1,1036
2016,3,2,2769
2016,3,3,334
2017,3,1,956
2017,3,2,3087
2017,3,3,446
2018,3,1,1048
2018,3,2,3313
2018,3,3,446
2019,3,1,1260
2019,3,2,3522
2019,3,3,532
2020,3,1,1091
2020,3,2,3948
2020,3,3,569
2021,3,1,1206
2021,3,2,4272
2021,3,3,571
2014,4,1,644
2014,4,2,2125
2014,4,3,145
2015,4,1,832
2015,4,2,2421
2015,4,3,225
2016,4,1,1011
2016,4,2,2797
2016,4,3,328
2017,4,1,961
2017,4,2,3065
2017,4,3,423
2018,4,1,1047
2018,4,2,3310
2018,4,3,410
2019,4,1,1245
2019,4,2,3600
2019,4,3,523
2020,4,1,1088
2020,4,2,4004
2020,4,3,533
2021,4,1,1196
2021,4,2,4278
2021,4,3,602
2014,5,1,660
2014,5,2,2147
2014,5,3,142
2015,5,1,861
2015,5,2,2435
2015,5,3,228
2016,5,1,998
2016,5,2,2821
2016,5,3,322
2017,5,1,973
2017,5,2,3082
2017,5,3,416
2018,5,1,1062
2018,5,2,3344
2018,5,3,430
2019,5,1,1213
2019,5,2,3630
2019,5,3,529
2020,5,1,1119
2020,5,2,3975
2020,5,3,502
2021,5,1,1231
2021,5,2,4336
2021,5,3,628
2014,6,1,671
2014,6,2,2136
2014,6,3,138
2015,6,1,862
2015,6,2,2439
2015,6,3,235
2016,6,1,991
2016,6,2,2845
2016,6,3,332
2017,6,1,1148
2017,6,2,3118
2017,6,3,399
2018,6,1,1062
2018,6,2,3352
2018,6,3,434
2019,6,1,1193
2019,6,2,3605
2019,6,3,500
2020,6,1,1086
2020,6,2,3964
2020,6,3,482
2021,6,1,1321
2021,6,2,4394
2021,6,3,656
2014,7,1,682
2014,7,2,2149
2014,7,3,146
2015,7,1,891
2015,7,2,2441
2015,7,3,229
2016,7,1,981
2016,7,2,2848
2016,7,3,323
2017,7,1,1137
2017,7,2,3115
2017,7,3,382
2018,7,1,1078
2018,7,2,3347
2018,7,3,423
2019,7,1,1145
2019,7,2,3666
2019,7,3,504
2020,7,1,1082
2020,7,2,3959
2020,7,3,487
2021,7,1,1310
2021,7,2,4446
2021,7,3,639
2014,8,1,698
2014,8,2,2139
2014,8,3,132
2015,8,1,899
2015,8,2,2446
2015,8,3,222
2016,8,1,984
2016,8,2,2819
2016,8,3,322
2017,8,1,1124
2017,8,2,3084
2017,8,3,384
2018,8,1,1088
2018,8,2,3377
2018,8,3,396
2019,8,1,1138
2019,8,2,3677
2019,8,3,503
2020,8,1,1072
2020,8,2,4008
2020,8,3,491
2021,8,1,1324
2021,8,2,4480
2021,8,3,633
2014,9,1,727
2014,9,2,2152
2014,9,3,122
2015,9,1,900
2015,9,2,2463
2015,9,3,230
2016,9,1,975
2016,9,2,2820
2016,9,3,308
2017,9,1,1107
2017,9,2,3064
2017,9,3,355
2018,9,1,1098
2018,9,2,3341
2018,9,3,368
2019,9,1,1127
2019,9,2,3665
2019,9,3,482
2020,9,1,1054
2020,9,2,4033
2020,9,3,484
2021,9,1,1365
2021,9,2,4535
2021,9,3,608
2014,10,1,738
2014,10,2,2150
2014,10,3,126
2015,10,1,899
2015,10,2,2493
2015,10,3,224
2016,10,1,1006
2016,10,2,2843
2016,10,3,316
2017,10,1,1076
2017,10,2,3092
2017,10,3,362
2018,10,1,1102
2018,10,2,3328
2018,10,3,384
2019,10,1,1071
2019,10,2,3737
2019,10,3,493
2020,10,1,1081
2020,10,2,3995
2020,10,3,482
2021,10,1,1284
2021,10,2,4572
2021,10,3,599
2014,11,1,749
2014,11,2,2149
2014,11,3,120
2015,11,1,923
2015,11,2,2518
2015,11,3,233
2016,11,1,989
2016,11,2,2843
2016,11,3,322
2017,11,1,1042
2017,11,2,3125
2017,11,3,361
2018,11,1,1144
2018,11,2,3329
2018,11,3,381
2019,11,1,1055
2019,11,2,3700
2019,11,3,464
2020,11,1,1109
2020,11,2,3986
2020,11,3,452
2021,11,1,1389
2021,11,2,4642
2021,11,3,581
2014,12,1,769
2014,12,2,2173
2014,12,3,123
2015,12,1,903
2015,12,2,2538
2015,12,3,223
2016,12,1,970
2016,12,2,2846
2016,12,3,320
2017,12,1,1068
2017,12,2,3120
2017,12,3,337
2018,12,1,1089
2018,12,2,3322
2018,12,3,335
2019,12,1,1040
2019,12,2,3731
2019,12,3,426
2020,12,1,1088
2020,12,2,4039
2020,12,3,446
2021,12,1,1523
2021,12,2,4894
2021,12,3,606
