month,year,treatment,N_ID
1,2008,1,-1
1,2011,1,-1
1,2011,2,1217
1,2012,1,-1
1,2012,2,260
1,2013,1,-1
1,2013,2,356
1,2014,1,92
1,2014,2,420
1,2014,3,116
1,2015,1,50
1,2015,2,315
1,2015,3,103
1,2016,1,305
1,2016,2,393
1,2016,3,168
1,2017,1,95
1,2017,2,427
1,2017,3,186
1,2018,1,60
1,2018,2,439
1,2018,3,202
1,2019,1,683
1,2019,2,542
1,2019,3,253
1,2020,1,119
1,2020,2,603
1,2020,3,215
1,2021,1,130
1,2021,2,532
1,2021,3,172
1,2022,1,190
1,2022,2,576
1,2022,3,165
2,2011,1,-1
2,2011,2,236
2,2012,2,185
2,2013,1,11
2,2013,2,249
2,2014,1,14
2,2014,2,271
2,2014,3,49
2,2015,1,30
2,2015,2,243
2,2015,3,77
2,2016,1,40
2,2016,2,280
2,2016,3,114
2,2017,1,40
2,2017,2,324
2,2017,3,148
2,2018,1,55
2,2018,2,318
2,2018,3,152
2,2019,1,61
2,2019,2,394
2,2019,3,172
2,2020,1,68
2,2020,2,419
2,2020,3,170
2,2021,1,99
2,2021,2,457
2,2021,3,146
2,2022,1,96
2,2022,2,537
2,2022,3,149
3,2011,1,-1
3,2011,2,276
3,2012,1,-1
3,2012,2,219
3,2013,1,-1
3,2013,2,210
3,2014,1,44
3,2014,2,272
3,2014,3,52
3,2015,1,45
3,2015,2,287
3,2015,3,72
3,2016,1,46
3,2016,2,303
3,2016,3,114
3,2017,1,79
3,2017,2,337
3,2017,3,132
3,2018,1,74
3,2018,2,350
3,2018,3,135
3,2019,1,77
3,2019,2,371
3,2019,3,169
3,2020,1,54
3,2020,2,442
3,2020,3,157
3,2021,1,103
3,2021,2,440
3,2021,3,162
3,2022,1,212
3,2022,2,631
3,2022,3,171
4,2008,1,-1
4,2010,1,-1
4,2011,1,-1
4,2011,2,121
4,2012,1,-1
4,2012,2,175
4,2013,1,-1
4,2013,2,225
4,2014,1,46
4,2014,2,241
4,2014,3,42
4,2015,1,37
4,2015,2,265
4,2015,3,92
4,2016,1,36
4,2016,2,277
4,2016,3,94
4,2017,1,58
4,2017,2,285
4,2017,3,137
4,2018,1,67
4,2018,2,341
4,2018,3,140
4,2019,1,72
4,2019,2,417
4,2019,3,135
4,2020,1,49
4,2020,2,415
4,2020,3,146
4,2021,1,88
4,2021,2,406
4,2021,3,147
4,2022,1,175
4,2022,2,597
4,2022,3,161
5,2009,1,-1
5,2010,1,-1
5,2011,1,-1
5,2011,2,263
5,2012,1,-1
5,2012,2,151
5,2013,2,220
5,2014,1,30
5,2014,2,239
5,2014,3,46
5,2015,1,52
5,2015,2,226
5,2015,3,64
5,2016,1,40
5,2016,2,295
5,2016,3,93
5,2017,1,69
5,2017,2,315
5,2017,3,138
5,2018,1,73
5,2018,2,342
5,2018,3,153
5,2019,1,62
5,2019,2,398
5,2019,3,155
5,2020,1,102
5,2020,2,364
5,2020,3,115
5,2021,1,153
5,2021,2,424
5,2021,3,160
5,2022,1,108
5,2022,2,537
5,2022,3,162
6,2011,2,169
6,2012,1,-1
6,2012,2,140
6,2013,1,-1
6,2013,2,207
6,2014,1,24
6,2014,2,205
6,2014,3,42
6,2015,1,33
6,2015,2,260
6,2015,3,78
6,2016,1,46
6,2016,2,285
6,2016,3,122
6,2017,1,231
6,2017,2,316
6,2017,3,132
6,2018,1,61
6,2018,2,335
6,2018,3,146
6,2019,1,60
6,2019,2,380
6,2019,3,132
6,2020,1,42
6,2020,2,386
6,2020,3,118
6,2021,1,203
6,2021,2,489
6,2021,3,167
6,2022,1,106
6,2022,2,585
6,2022,3,163
7,2007,1,-1
7,2009,1,-1
7,2010,1,-1
7,2011,1,-1
7,2011,2,152
7,2012,1,-1
7,2012,2,156
7,2013,1,389
7,2013,2,226
7,2014,1,38
7,2014,2,221
7,2014,3,48
7,2015,1,63
7,2015,2,221
7,2015,3,65
7,2016,1,50
7,2016,2,251
7,2016,3,94
7,2017,1,44
7,2017,2,274
7,2017,3,116
7,2018,1,97
7,2018,2,314
7,2018,3,111
7,2019,1,55
7,2019,2,410
7,2019,3,167
7,2020,1,58
7,2020,2,380
7,2020,3,137
7,2021,1,68
7,2021,2,471
7,2021,3,122
7,2022,1,97
7,2022,2,527
7,2022,3,133
8,2007,1,-1
8,2011,1,-1
8,2011,2,116
8,2012,2,168
8,2013,1,12
8,2013,2,192
8,2014,1,36
8,2014,2,204
8,2014,3,40
8,2015,1,38
8,2015,2,226
8,2015,3,62
8,2016,1,46
8,2016,2,254
8,2016,3,100
8,2017,1,51
8,2017,2,297
8,2017,3,123
8,2018,1,66
8,2018,2,349
8,2018,3,108
8,2019,1,91
8,2019,2,385
8,2019,3,148
8,2020,1,52
8,2020,2,423
8,2020,3,121
8,2021,1,82
8,2021,2,475
8,2021,3,149
8,2022,1,105
8,2022,2,622
8,2022,3,155
9,2009,1,-1
9,2011,1,-1
9,2011,2,306
9,2012,2,127
9,2013,1,14
9,2013,2,220
9,2014,1,52
9,2014,2,207
9,2014,3,36
9,2015,1,31
9,2015,2,227
9,2015,3,80
9,2016,1,44
9,2016,2,255
9,2016,3,95
9,2017,1,54
9,2017,2,265
9,2017,3,112
9,2018,1,100
9,2018,2,290
9,2018,3,105
9,2019,1,68
9,2019,2,372
9,2019,3,133
9,2020,1,69
9,2020,2,394
9,2020,3,126
9,2021,1,240
9,2021,2,471
9,2021,3,135
9,2022,1,117
9,2022,2,603
9,2022,3,147
10,2011,1,-1
10,2011,2,113
10,2012,1,-1
10,2012,2,157
10,2013,1,13
10,2013,2,215
10,2014,1,52
10,2014,2,213
10,2014,3,46
10,2015,1,27
10,2015,2,233
10,2015,3,67
10,2016,1,77
10,2016,2,262
10,2016,3,107
10,2017,1,51
10,2017,2,284
10,2017,3,111
10,2018,1,59
10,2018,2,308
10,2018,3,122
10,2019,1,83
10,2019,2,419
10,2019,3,149
10,2020,1,89
10,2020,2,357
10,2020,3,124
10,2021,1,105
10,2021,2,462
10,2021,3,121
10,2022,1,203
10,2022,2,590
10,2022,3,143
11,2010,1,-1
11,2011,1,-1
11,2011,2,112
11,2012,2,145
11,2013,1,-1
11,2013,2,169
11,2014,1,32
11,2014,2,182
11,2014,3,37
11,2015,1,61
11,2015,2,221
11,2015,3,80
11,2016,1,37
11,2016,2,249
11,2016,3,104
11,2017,1,37
11,2017,2,280
11,2017,3,114
11,2018,1,110
11,2018,2,312
11,2018,3,117
11,2019,1,55
11,2019,2,356
11,2019,3,113
11,2020,1,74
11,2020,2,357
11,2020,3,107
11,2021,1,262
11,2021,2,403
11,2021,3,118
11,2022,1,125
11,2022,2,660
11,2022,3,147
12,2009,1,-1
12,2010,1,-1
12,2011,2,102
12,2012,1,-1
12,2012,2,182
12,2012,3,-1
12,2013,1,12
12,2013,2,169
12,2014,1,41
12,2014,2,218
12,2014,3,37
12,2015,1,25
12,2015,2,253
12,2015,3,45
12,2016,1,33
12,2016,2,247
12,2016,3,104
12,2017,1,68
12,2017,2,246
12,2017,3,111
12,2018,1,27
12,2018,2,294
12,2018,3,62
12,2019,1,50
12,2019,2,353
12,2019,3,109
12,2020,1,60
12,2020,2,431
12,2020,3,114
12,2021,1,179
12,2021,2,483
12,2021,3,141
12,2022,1,143
12,2022,2,762
12,2022,3,159
